title,company,location,date,summary,url
Junior Administrative Assistant,Tetra Tech,"Edmonton, AB",10 days ago,"Data entry and word processing, including proofing of work. From our roots (as EBA Engineering Consultants), and now Tetra Tech Canada, we have progressively…",https://www.indeed.ca//rc/clk?jk=9f8f26eb473686d5&fccid=997110e6d9c4c093&vjs=3
#28-1907-SO- SP Junior Environmental Scientist,Millennium EMS Solutions,"Sherwood Park, AB",12 days ago,Data management and data entry using MS access databases. Senior Environmental Scientist. Currently we employ over 140 employees in various disciplines…,https://www.indeed.ca//rc/clk?jk=e75a78f1266f79f5&fccid=930950bd60de2141&vjs=3
"Scientist, Human Genomics",Destiny Bioscience Global Corp.,"Nisku, AB",6 days ago,Experience in high-dimensional data management and analysis skills. Destiny Bioscience is looking for a scientist to work with a multidisciplinary team…,https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/Scientist-c50426af10fe15d3?fccid=a7e0e8dc1e65fc95&vjs=3
Physical Scientist Inventory,Environment and Climate Change Canada,"Edmonton, AB",30+ days ago,Physical Scientist Research. Knowledge of approaches to quality control and quality assurance related to data collection or data management.,https://www.indeed.ca//rc/clk?jk=2a48ef8cfb902a4a&fccid=d45e6800befca5fb&vjs=3
Director of Data Science,AltaML Inc./Janalta Interactive Inc.,"Edmonton, AB",30+ days ago,Set the direction for building a high performing culture of data scientists and ML engineers. Humble – Listen to the data.,https://www.indeed.ca//rc/clk?jk=40db3cd9efa844c7&fccid=ec29960f5738501b&vjs=3
Jr. Geotechnical Engineer,Tetra Tech,"Edmonton, AB",4 days ago,"Analyzing field data and preparing detailed engineering reports and recommendations. From our roots (as EBA Engineering Consultants), and now Tetra Tech Canada,…",https://www.indeed.ca//rc/clk?jk=a8da71e3ca044b2f&fccid=997110e6d9c4c093&vjs=3
Water Quality Scientist,Golder Associates,"Edmonton, AB",30+ days ago,Water Quality Scientist. Performing and directing data analysis. Experience with leading and completing water quality field data collection programs.,https://www.indeed.ca//rc/clk?jk=ad47d858ac7b04b3&fccid=e3b502a5b609fca4&vjs=3
"Scientist, Veterinary Genomics",Destiny Bioscience Global Corp.,"Nisku, AB",6 days ago,Scientist – Veterinary Genomics*. Data management and annotation experience are strongly recommended. Experience in high-dimensional data management and…,https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/Scientist-a8d341a8a79df81e?fccid=a7e0e8dc1e65fc95&vjs=3
JUNIOR PROJECT TECHNICIAN/SCIENTIST,WSP,"Edmonton, AB",30+ days ago,"Environmental Scientist or Technician - Edmonton. Teaming with project technicians, scientists, contractors and other field personnel to complete on-site…",https://www.indeed.ca//rc/clk?jk=b31ee3aa2931ed64&fccid=125e77713a321cdc&vjs=3
Scientist – Endocannabinoid System,Destiny Bioscience Global Corp.,"Nisku, AB",6 days ago,"Experience in high-dimensional data management and analysis skills. This is an excellent opportunity for a highly-motivated, creative scientist to be a vital…",https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/Scientist-Endocannabinoid-System-498a2f6c5198a789?fccid=a7e0e8dc1e65fc95&vjs=3
Data Science Team Lead,AltaML Inc./Janalta Interactive Inc.,"Edmonton, AB",30+ days ago,You will be primarily responsible to lead a team of Data Scientists and manage ML/AI projects and research. Humble – Listen to the data.,https://www.indeed.ca//rc/clk?jk=c6384875c0ff86d6&fccid=ec29960f5738501b&vjs=3
"Scientist, Wildfire Operations",FPInnovations,"Edmonton, AB",30+ days ago,Collaborate with and support fellow scientists in the collection and analysis of field data. Scientists are required to work independently and in a…,https://www.indeed.ca//company/FPInnovations/jobs/Scientist-67a46340aee46622?fccid=b32a24eba437ab22&vjs=3
Staff Machine Learning Developer,AltaML Inc./Janalta Interactive Inc.,"Edmonton, AB",30+ days ago,Humble – Listen to the data. Provide mentorship to our Data Science team. Actively participates in building a high performing culture of data scientists and ML…,https://www.indeed.ca//rc/clk?jk=0fbd65f6c44748e2&fccid=ec29960f5738501b&vjs=3
Geomatics Engineer,Northwest Hydraulic Consultants,"Edmonton, AB",3 days ago,"Responsibilities will also include office-based work, such as survey data processing and reporting, coordination of field resources and personnel, data…",https://www.indeed.ca//rc/clk?jk=e188c233ddf0d05d&fccid=cb65975c892e755a&vjs=3
Quality Assurance Officer - Permanent - Environmental and Petroleum,AGAT Laboratories,"Edmonton, AB",5 days ago,"Evaluate data quality and maintain records, control charts and other pertinent performance information. Our scientists are highly-skilled and specialized in the…",https://www.indeed.ca//company/AGAT-Laboratories/jobs/Quality-Assurance-Officer-a2bf002848037eb7?fccid=2db7fc8995a3b664&vjs=3
"Manager, Cannabis Tissue Culture",Destiny Bioscience Global Corp.,"Nisku, AB",6 days ago,"Maintains SOPs, lab data and records, lab notebooks and computer databases. Work closely with Scientists and Breeders to make best use of available varieties…",https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/Manager-bd22f89b1ea19ae9?fccid=a7e0e8dc1e65fc95&vjs=3
"Laboratory Analyst (Ecotoxicology) - Edmonton, AB (Full-Time)",CARO Analytical Services,"Edmonton, AB",30+ days ago,"Uses LIMS and CETIS software to enter generated test data. Is a Western Canada based environmental and food analytical laboratory full of smart, engaged…",https://www.indeed.ca//company/CARO-Analytical-Services/jobs/Laboratory-Analyst-50ef914b0980735b?fccid=29b52b6ba68d5111&vjs=3
Senior Business Data Analyst,Intuit,"Edmonton, AB",30+ days ago,"Solve marketing and product analytics problems by doing work such as developing data structures, pipelines, and data visualizations that enable us to find…",https://www.indeed.ca//rc/clk?jk=403e98143847ed33&fccid=9784ae78e9834539&vjs=3
