title,company,location,date,summary,url
Data Scientist,SPORTLOGiQ,"Montréal, QC",30+ days ago,"As a Data Scientist, you will be a part of our highly talented research team, building our next generation advanced sport analytics platform....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0AAp_mjGmWhN-vjwKGW2WFcpAvV1GQnDy6Bm2NLvvhH2zqrTegwsusm3Vl1XZFrtclIfDbcgHXzCBc1TBGfxSxSdD-K9Ncl_kDEgXFj3Z1W8EmDDxMYwhygD347mtdusfkKNbNJ9stt1te9_Y9a_cEOHys_s2oYFzzsOWL5Sr2QQpzRKgzjl1mF3Vj8DYnZfDjYKUNVrwon2jX6Z37ALMkgrqIZNHTWClc3FTWH4y3ZoPBTwO3pJeSK9iTHbFiGZYs0XoWqZZbZfnWcOmkZqQK_th61_c_Wg9xaRFEmHhPv-WL0lPmuJR7MM2uH3P0uV7vIHM2IRYRz6NQ4TpvYPe3ZPxIJ6FgsfyaN3Aerm_C7EtkB7g7dd7oyjy9VSXfnCDv1ZE4Evmbb__Jatz5xNKXKPam0FeMad-eeNuBZQnI_vw==&p=2&fvj=1&vjs=3
Data Scientist - Machine Learning Specialist,Groom & Associes,"Montréal, QC",30+ days ago,"Data Scientist – Machine Learning Specialist. As a Machine Learning Specialist - Data Scientist, you will need to have strong programming skills and strong...",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVs-T9pJvKgdcjqfxy4PuTkMKy94IHDQAEhzTdy-zvnV1tIAHbSJ2HeJ0K08eYlpa92dke4bsEJ-nWdZ3ej2fVrgc0rZPzhINJPkUmN8e2tw0waV4IE1PTl1i7zu8sadZSMUq-V3Y7KOdMojgC0C_tUZxFMsPOReXUYzpKwq4faAl8QQXZrESISo6qw76op6mamZLxnDqzqBkuonc33rY17oL4XFcMc3-iJFLx3S57CWTFKIhSYU-qZl3zaH5So8Te4Pd8x6GOfHNkS0hl_8D7aL8NNTwXcjVdi3CHIOXyaEJBKeg0eFsoW45_EYJ9klFNB9nlr6zECJnXm27FT90BfaJHZyOnFo8DyjfAfXqRQXtLWkotIusgAb_UzfZO5JOeRaX0NAhMI7NQh5FWgYfZo4M_EyaWz3AYnyc6y9DcPku0O6ESYWLT4awKPdiBDbNb58gbyAPPgt2bvtJnFBSOQhPhJ12P2gwms2QYc3oTUDPkVxglPmq74NUkmSNyAeoU=&p=3&fvj=0&vjs=3
Scientifique de Données / Data Scientist,Square Enix Montréal,"Montréal, QC",30+ days ago,"Data Scientist. Clean, organise and explore large data sets; 2-5 years of data science/machine learning experience....",https://www.indeed.ca//rc/clk?jk=7b7488c6a502748d&fccid=f1c4e35cc4ebf53e&vjs=3
Data Scientist,Amp Me Inc.,"Montréal, QC",7 days ago,"Solutions cover data warehouse, data marts, presentation visuals - reports, charts, dashboard and analytical models. Find and investigate data discrepancies....",https://www.indeed.ca//rc/clk?jk=4c49e0e6e655ec8a&fccid=fee0f81fe7fc8a94&vjs=3
Scientifique de données RH / HR Data Scientist,Eidos Montréal,"Montréal, QC",22 days ago,Title:HR Data Scientist. Develop processes to identify the most relevant data; Communicate the results through story-telling and data visualization....,https://www.indeed.ca//rc/clk?jk=f2b2643a44ebcc25&fccid=58085decd34c3cfe&vjs=3
Scientifique de Données / Data Scientist,Eidos Montréal,"Montréal, QC",12 days ago,"Data Scientist. Clean, organize and explore large data sets; 2-5 years of data science/machine learning experience;...",https://www.indeed.ca//rc/clk?jk=1442df92b6027589&fccid=58085decd34c3cfe&vjs=3
SENIOR DATA SCIENTIST,TMC,"Saint-Laurent, QC",30+ days ago,This will involve gaining substantial experience working with different data systems to develop state-of-the-art data science solutions for our business’s data...,https://www.indeed.ca//rc/clk?jk=f3cbf7af40458a92&fccid=0fcdec9647fe762c&vjs=3
Data Analyst & Reporting Specialist,StorageVault Canada Inc.,"Montréal, QC",30+ days ago,1-2 years experience as a data scientist or data analyst. Pull & analyze data from various sources to drive insight....,https://www.indeed.ca//company/StorageVault-Canada-Inc./jobs/Data-Analyst-Reporting-Specialist-df2f260b33516d28?fccid=b6818f503a82faff&vjs=3
Data Scientist - Machine Learning Specialist,Groom & Associes,"Montréal, QC",30+ days ago,"Data Scientist – Machine Learning Specialist. As a Machine Learning Specialist - Data Scientist, you will need to have strong programming skills and strong...",https://www.indeed.ca//rc/clk?jk=6dcae65be9239f49&fccid=8d08a26504cbffaa&vjs=3
Data Science Liaison,WITS Consulting,"Montréal, QC",30+ days ago,The Data Science team is seeking a full time Data Science Liaison. Validate Data Science generated models and data sets to ensure they fit the need and are at...,https://www.indeed.ca//rc/clk?jk=ba83fd84fc039e9b&fccid=b3caf53102545144&vjs=3
Scientifique des données / Data Scientist,CAE Inc.,"Montréal, QC",25 days ago,To manipulate data and draw insights from large data sets. Develop custom data models and algorithms to apply to data sets....,https://www.indeed.ca//rc/clk?jk=6047ce05a04c2464&fccid=b839f9af280b111f&vjs=3
Senior data scientist (Montreal),Intact,"Montréal, QC",16 days ago,"Help maintain our data mining tools and platforms. Are you passionate about advanced analytics and Big Data? With offices in downtown Toronto and Montreal, the...",https://www.indeed.ca//rc/clk?jk=5bf416548314e910&fccid=be7195d2ebb48351&vjs=3
Scientifique des données - Data Scientist,Gameloft,"Montréal, QC",30+ days ago,We are currently looking for a Data Scientist to join our Data Science team. The candidate will also collaborate with an international team of data research...,https://www.indeed.ca//rc/clk?jk=66bd8e4a5236542b&fccid=7e0d9a513baca44d&vjs=3
Principal Data Scientist - QuantumBlack,McKinsey & Company,"Montréal, QC",24 days ago,"As a Principal Data Scientist at QuantumBlack in Montreal, you will work with other Data Scientists, Data Engineers, Machine Learning Engineers, Designers and...",https://www.indeed.ca//rc/clk?jk=ee9b891b4417d623&fccid=6576e7250aa78c3c&vjs=3
Lead Data Scientist - NLP,DRW,"Montréal, QC",14 days ago,"Our Flow-Equity team is looking for a passionate, innovative Data Scientist to spearhead the efforts of creating an equity trading model using NLP techniques....",https://www.indeed.ca//rc/clk?jk=383e180a66f0c75f&fccid=d9e7c4d795860e0c&vjs=3
Data Visualization Specialist,ClipperData LLC,"Montréal, QC",30+ days ago,"Work hand in hand with data scientists, engineers and other data professionals to show the impact of data products; Data cleaning and problem-solving....",https://www.indeed.ca//company/ClipperData-LLC/jobs/Data-Visualization-Specialist-2ae6921a8a7e80e4?fccid=2d62d05fefb51a37&vjs=3
Data Scientist.,Brain Finance,"West Island, QC",18 days ago,"As a Data Scientist, you will be working with teammates who are passionate, helpful, and strive to get the best out of Big Data . Job Description....",https://www.indeed.ca//rc/clk?jk=f00f3f5f9e899a5a&fccid=6f679e2241486aec&vjs=3
Senior Data Scientist,MavTek,"Montréal, QC",30+ days ago,"Senior Data Scientist. Data Intelligence - Big Query, AWS - Data ETL development. Minimum of 3+ years experience in the data science and data architecture field...",https://www.indeed.ca//rc/clk?jk=1dd0536d5306ce58&fccid=022978e5633eb365&vjs=3
Environmental Scientist,ERA Environmental Management Solutions,"Montréal, QC",30+ days ago,"Data entry:. Environmental Scientist – Entry Level Position. Our software is created by inventive, passionate environmental scientists....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0ApSHlqJjtjFIJNlzYf5NpZsaYJ7eB6tgmEd_HePLBCNiO-UUpd450ebfMrv4MscHp840wUzLJlF2BzazHVpPhpXVzee7ALbs5jFWBTG26eYlVTfWg2W1e_4HZGZfnZkMz605XzGUnz1vLkTce3QtI3bf_Xaa_6kAL7uwB9dwh8xe7WlXAh8NZaqASBp3-xSqIpVAomp8Xh_pVscJJCxfhsJB7uu3wXMvGrX1gs72keqOgANotoeTAjN81YanTkWPi3XM7bMjHCfQiWlFIfI5brM8aWXK4Kq7vcBEBM8SiY24w4P40xj0niNtfOi7OX7j775qxOu3hi0cwgSflp8xzMp3Ezggax14wGweKZCTl2XlarkFp90AUHwP_hYxdjCYrDBW7YNJyx7f1NeekZsf4-i4BbS2jwMcj50brBoWK8LOUwo3mO-NInSDgh0HlMdvs=&p=0&fvj=1&vjs=3
Data Scientist,SPORTLOGiQ,"Montréal, QC",7 months ago,"As a Data Scientist, you will be a part of our highly talented research team, building our next generation advanced sport analytics platform....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0AAp_mjGmWhN-vjwKGW2WFcpAvV1GQnDy6Bm2NLvvhH2zqrTegwsusm3Vl1XZFrtclIfDbcgHXzCBc1TBGfxSxSdD-K9Ncl_kDEgXFj3Z1W8EmDDxMYwhygD347mtdusfkKNbNJ9stt1te9_Y9a_cEOHys_s2oYFzzrCQohZ2mM6z_dRXLyGGwN6VJ_1Kd-aUfT5pDZmnwpAwTS-63xrG1wG8FixyjyffXOUn6EvwMFGgCiIx7r23pv-ga0kypYLi2WOm57wV8kJphbL3JuoF_hCrztLXgRs4I0xvN_MAd0UDfQMnITvgiS79859JZz_nywSZTWxPc_yb6Bbr0v0kTM2uqB4vvHTzDIO99Q0IS42NzE0yKGEaBGyNZaH92EWMH7WLy1j53Q9kzAgQQ1zJBwnLLl31ZaoZe38dxev5-Hmw==&p=1&fvj=1&vjs=3
Speech/Data Scientist,Nuance,"Montréal, QC",30+ days ago,Knowledge of statistical data analysis. Passionate about analyzing data to solve problems and improve systems. Company Overview / Présentation de l’entreprise:....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0Bzin9QUkjw5S3uZgWvqXu5YKbu1M0ccIXCVaLi4ulGCsDq852yg6XJXtKDIAdbbKx8WaN0dQbyKlm-CTZKl8e-Q3y2yaIwuVGDUANRrIFlZJHU8OauDffMUij4N0Gd5wxQWGOOaBnDOyonPJOenOeq0Ez_oZeEhPnoQ0dOieOAdpBQlfxktV64dvgweycZq_K9IrHl3n_e1FIqCQnCK4r_te7sEpedLrNs0f5aOVytTdiXAmdjY11H-h3oKBlsuVdllJwIlKgulYGjuZvErgzMUchXjjEMKX8XrwXhSNSPXWVd7FbvX0kSQJQJh3hEccrqncmCdPFKlOQO-sWf7InsqgBh8NXxZymLsrkHbzP5SVhL-9oMNAtnnt_wFW-tIRGN-hUqkq4bcSE6-KhFG_H-wDDGNp_tqyQWUElHTXq8jXl3YzIPa_MYpOtZ-ALQBmYuOpDnBbkVGjMdkpUet64owyTPTw7gT-sXpOU7mZefqYhvJI0vMj_pPP5L879smN8-uyslopIxyhY8ae8guZHz-X6PW0TCTtPoopjPuzsxAdbzoTPhEsoCmo8cEjremIfUE4_3NBbqlBGTC9tw6HhV9nDr-p5y1ML4HqA_NvH2JMOgL2Rajd46&p=2&fvj=0&vjs=3
Natural Language Processing Sequence Modelling Data Scientist,SITA,"Montréal, QC",30+ days ago,5+ years of professional experience as a data scientist or related roles. Designing and documenting data architecture at multiple levels (high-level to detailed...,https://www.indeed.ca//rc/clk?jk=9bfdb7cc0990ed57&fccid=d15de92e17e3987d&vjs=3
"Research Scientist, Google AI",Google,"Montréal, QC",30+ days ago,"From creating experiments and prototyping implementations to designing new learning algorithms, Research Scientists work on challenges in machine perception,...",https://www.indeed.ca//rc/clk?jk=cc1c77008b6edc66&fccid=a5b4499d9e91a5c6&vjs=3
Imaging Biometrics & Identity Intelligence Data Scientist,SITA,"Montréal, QC",10 days ago,"Experience with all-source intelligence computer applications, search engines, and data processing systems. You will be part of the company global Data Science ...",https://www.indeed.ca//rc/clk?jk=7803d227191ed956&fccid=d15de92e17e3987d&vjs=3
"Architectes des données juniors/ Junior Data Architects - ML et AI, Montréal",Ericsson,"Montréal, QC",5 months ago,"The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data...",https://www.indeed.ca//rc/clk?jk=04cbc3200023b469&fccid=82656d64a9a3e6a7&vjs=3
Data Engineer & Scientist,Fiera Capital,"Montréal, QC",6 months ago,"Proficiency with SQL and NoSQL data stores such as MongoDB, Cassandra or Redis. Your mission, should you choose to accept it; Main Accountabilities....",https://www.indeed.ca//rc/clk?jk=5ac1b83885edd69e&fccid=0ce5749371af3e7a&vjs=3
"Junior Scientist, Analytical Development",Forbius Inc.,"Montréal, QC",30+ days ago,"Perform data trending and specification limit evaluation. Contribute to the planning, data analysis and report generation of stability studies....",https://www.indeed.ca//company/Forbius/jobs/Junior-Scientist-32fb6ded049560be?fccid=1b6ab7d2cb6f58c8&vjs=3
"Scientifiques des données juniors / Junior Data Scientists - ML et AI, Montréal",Ericsson,"Montréal, QC",21 days ago,"As a Junior Data Scientist, you will need to have good programming skills and strong understanding of data science and Machine Learning tools....",https://www.indeed.ca//rc/clk?jk=c5ef8afbaa5f157b&fccid=82656d64a9a3e6a7&vjs=3
Spécialiste de données (Data Wrangler) | Data Scientist (Data Wrangler),Cirque du Soleil,"Montréal, QC",14 days ago,"Data Scientist (Data Wrangler). Client data, transactional data, digital data (Google Analytics, social media), as well as behavioural and socio-demographic...",https://www.indeed.ca//rc/clk?jk=c5cee15517a9faa6&fccid=1ed16622bfd2a0f4&vjs=3
Data Scientist 3134353,Morgan Stanley,"Montréal, QC",6 months ago,"A Data Scientist in the space focuses on supporting Data Scientists and Quantitative Analysts through a variety of tools, as well as assisting in data...",https://www.indeed.ca//rc/clk?jk=1f6a4e9d9efdd5ac&fccid=0c39fb2c91742dcf&vjs=3
Enterprise- Data Scientist / Architect,Astra,"Dorval, QC",30+ days ago,"10+ years of experience in designing and implementing Data solutions like Data Warehouses, Data Lakes and data hubs....",https://www.indeed.ca//company/Astra/jobs/Enterprise-c21362bf3f29aedf?fccid=39ecf610c0f58dd9&vjs=3
Deep Learning and computer vision scientist,magicplan,"Montréal, QC",30+ days ago,"Generation and/or usage of synthetic data for Deep Learning,. Sensopia is looking for a talented deep learning / computer vision scientist to expand its...",https://www.indeed.ca//rc/clk?jk=f7e83f1f27468f8c&fccid=66c08c3d7ff97604&vjs=3
Applied Research Scientist (Machine Learning),InVivo AI,"Montréal, QC",30+ days ago,"As an applied research scientist at InVivo AI, you'll join a growing team of researchers working at the forefront of machine learning for drug development....",https://www.indeed.ca//rc/clk?jk=48a844f6cb50d9f3&fccid=53f8f8a0dc4d7927&vjs=3
Associate Scientist,PME MTL West Island,"Saint-Laurent, QC",30+ days ago,"Associate Scientist. Is looking for an Associate Scientist to join their team! Execute individual tasks related to formulation development, excipient...",https://www.indeed.ca//rc/clk?jk=75aeabad42faf565&fccid=9ee767d7dbcc9c93&vjs=3
"Senior, Data Scientist (NLP)",Bell Canada,"Montréal, QC",10 days ago,Coach and mentor data scientists from a technical perspective. Be the senior technical lead of a team of data scientists working on various projects....,https://www.indeed.ca//rc/clk?jk=a78661a55231dd0e&fccid=6d9b8e75dfffb17e&vjs=3
Senior Data Scientist,Canadian National Railway,"Montréal, QC",24 days ago,Senior Data Scientist. Engineer data and/or support Data Engineers to ensure effective use of data and enable the desired statistical approach....,https://www.indeed.ca//rc/clk?jk=ce2ff88074a539d1&fccid=e396b9cc28927095&vjs=3
Food Scientist/Formulator,CERTICO BEVERAGES INC.,"Montréal, QC",30+ days ago,"Knowledge and understanding of data science. Testing, recording, analyzing and summarizing research data. The Food Scientist will collaborate with project teams...",https://www.indeed.ca//company/CERTICO-BEVERAGES-INC./jobs/Food-Scientist-Formulator-25acd02571c06f61?fccid=3601b3bdf7ecfde6&vjs=3
Senior Computer Vision Scientist,wrnch,"Montréal, QC",30+ days ago,It analyzes regular 2D RGB video and returns 3D motion data in real time. We are currently seeking a Senior Computer Vision Scientist to help us to build out...,https://www.indeed.ca//rc/clk?jk=5db44d4fa502a7a3&fccid=9b9ffffe581b0810&vjs=3
Data Analyst & Reporting Specialist,StorageVault Canada Inc.,"Montréal, QC",30+ days ago,1-2 years experience as a data scientist or data analyst. Pull & analyze data from various sources to drive insight. Proficiency with Excel (advanced usage)....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0BWeIyX-apIGI9asRX8CvtwpLSfgIWguRLfoR40Ldyv2wW2d9pH1Dmizys6a0pAajMNJHO43jsTlhJvxWk8IeL5wtbWxto8j8l-112dwMxskFZr9NaGatwtaZoZiYo9WkspYr98YpPvyXiTe0N7zn_c_x4yKFOl8J3BcpMboeH9zVHE2KNlJZKywjv78jVVwT9-RD6V_ihSpQySF4AnrFAMD4BJ5TQSJ9p07hU9VOPHlJq8fevHZj_Nj04hj2uEVk5xIali5RomW0yCDWbez7AXYfIGSegYVD1jjGdzVSJxJwHlSiO853dhsOxTbwmVRYDDKT0G6oLdH2_00fsG7vprwMnOdzvqgKZSr5xl-EizMe07VHXDNOmdVj_EcYjeCwrFtT8-P44G4T6A8mkGUqHhmKDSzS03bxFfV0ZI68gNyjWZlOxnnHHVHd0cZQaFqVc=&p=0&fvj=1&vjs=3
Data Scientist,SPORTLOGiQ,"Montréal, QC",30+ days ago,"As a Data Scientist, you will be a part of our highly talented research team, building our next generation advanced sport analytics platform....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0AAp_mjGmWhN-vjwKGW2WFcpAvV1GQnDy6Bm2NLvvhH2zqrTegwsusm3Vl1XZFrtclIfDbcgHXzCBc1TBGfxSxSdD-K9Ncl_kDEgXFj3Z1W8EmDDxMYwhygD347mtdusfkKNbNJ9stt1te9_Y9a_cEOq2hV7EbNbM5UeRboSHnAgXH52yNQBnjnKj-Tq7E_LO3sHJLQJJKS2u1IFjxMT-odd5G5IRkdnIGMQUC4ULYp1lncEuYhPYr9RySVOvyMYAH2mxWpaXi5vVy2ZlAhBl2XiYBES2VRZtkYJUFgsYCOAfbR2WPsM5FECpYDRYfi4Yn_rGOhtaPV6nm0ZJ6vXc2UQ9jwOxJ9Jvu1892b1gBdvhMxUQxt3RT2GP7cSr6bUdUs26e80lAfx0SyF3-DYbw5NDntaE0xHMwZDbsBzQQxmA==&p=1&fvj=1&vjs=3
Machine Learning Scientist (Manager at Venture-Funded Startup),TandemLaunch,"Montréal, QC",30+ days ago,We are looking for a Data Scientist interested in an early-career management role with either of these backgrounds:. > A focus in machine learning:....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0DDQ-wXDbja-50zJ4JYNsdB49_0PzS5kX4A_9dj3-qMVUvm2WfMTYngRGi_YmBmFyTeGdcIdG068gY1fxXZs_IzXH9FjObbqs1MVxv1iGlV1idLPn5n7zfd4n00w0F2CeExfxofdektbXoI10_eYH9saFSdXy6Je9zmVHhYNrwTP9FBmExp1JI9e_65TYQB7vP6V7rcj0jzdXAjtRyHX1tY4xHstgf94ThzjhxJIP5DaSWa0dqU7xk8p5zdiH5haIbQfJLZDuXWXta4gR4fs7OSDJ61eCa8c7XDZoqKmvVv0qGp7TU4Br6w5ns6O6O53YOqd0er8LonNlbQ7J0OWGg4vaYyKKoEh4FtvUvul-LzLEUIpzmYXvCOyMs_ERMg7AfStFP1uepN_wRmr5ZJoCYyypJcGuowD-XmorXdoLVi1GnS57SGaxlr6YbAVG6nd6a7YmVx8X8lUyUsXmUA4hQorJP9quwEKlHKYeo32GzRKQ==&p=2&fvj=1&vjs=3
Network Analytics,Kaloom,"Montréal, QC",30+ days ago,"Design and implement a robust and maintainable solution for network data collection, aggregation, analysis, and presentation. This is a full-time position;...",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0DNIqPVqAL45Rp5c5Bpe4o16nUTbyMyHaPy_Kp2X5ODOxRIK6Brbgcq2HNtzpqnb1bAR_kUsgvHRb94hTp_JcL1Eg_Tcdsut_qb5rFWwzkPcDgVildjFZHOkOzde9Pl9WdpqH-sxFY61CeG8xPNQfi4V787PctYC8R8JYt6XZT5tKPdOU9Uc7Q04j0EU78ztLwWHUH9tFDnXK4wbqDNwroUDDBWx7CwjLdqhjGvkh8zN-RE0H_tljc-JIRBikKaPIEfROW4OjF3FO2LjtuBcWf30Y_j0RHHo9a3ggestRUPpH6og9EGVaXl06ccrupWAXvchZeULmb3-zGBVBBtoh49oC0cHOlRmX_mzvSQQ_fZ9LctL9DFhliV-HtEEgjpVmFSRvv6DtIBE9FoTs9lp4rtw36EvxMzYENjt78NpyDveekTReMNWn-ZohooVpSlC8o=&p=3&fvj=1&vjs=3
"Architectes des données / Data Architects - Machine Learning & AI, Montreal",Ericsson,"Montréal, QC",30+ days ago,"The Data Architect will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data...",https://www.indeed.ca//rc/clk?jk=27445707077bc6fc&fccid=82656d64a9a3e6a7&vjs=3
Lab Scientist,Complete Genomics,"Montréal, QC",30+ days ago,"Lab Scientist – Montreal, Canada. A full-time laboratory scientist position is available in BGI Americas Sequencing Center at Montreal Canada....",https://www.indeed.ca//rc/clk?jk=70f1e11060972dab&fccid=3561c474497198ed&vjs=3
Data Scientist (user research lab),Ubisoft,"Montréal, QC",9 days ago,"Ubisoft Montreal is looking for you, Data Scientists. On being a data scientist at Ubi Montreal. The daily life of a data scientist at Ubi Montreal....",https://www.indeed.ca//rc/clk?jk=efbc4edb1b49e848&fccid=237908de095b6446&vjs=3
Senior Fermentation Scientist,Hyasynth Bio,"Montréal, QC",30+ days ago,"Effectively document experimental purpose, design, data, and interpretations. We're seeking a Senior Fermentation Scientist to join our Process Development team...",https://www.indeed.ca//rc/clk?jk=53e73f324144e567&fccid=c705e60e1b60d421&vjs=3
Scientifique intelligence artificielle recherche et technologie / Research and Technology Applied AI (Artificial Intelligence) Scientist,Thales Group,"Montréal, QC",30+ days ago,"Hands-on experience with data visualization, analytics tools/languages. As a Research and Technology Applied AI Scientist, you will drive the key activities...",https://www.indeed.ca//rc/clk?jk=d7e272780b0e8a22&fccid=b920aab5fd60595d&vjs=3
Senior Data Scientist // Scientifique des données principal,SSENSE,"Montréal, QC",30+ days ago,"An integral part of the Data Science team, the Senior Data Scientist will play a key role in our fast growing organization, helping us discover and exploit data...",https://www.indeed.ca//rc/clk?jk=09cf207f5092983e&fccid=0ddad3766f834b33&vjs=3
Scientist - R&D Immunology,Caprion,"Montréal, QC",30+ days ago,Support the Principal Scientist assigned to each specific project. Perform in-depth data analysis and interpretation for each experiment performed....,https://www.indeed.ca//rc/clk?jk=feb459c34eea0c09&fccid=943271990b714a32&vjs=3
Data Scientists - Deep Learning,Blue City Technology,"Montréal, QC",30+ days ago,"Attention to detail, data accuracy, and quality of output. This job position requires a person to help the other team members in collecting data outside of the...",https://www.indeed.ca//company/Blue-City-Technology/jobs/Data-Scientist-570e38241895d62b?fccid=c16454835b0049d5&vjs=3
Data Engineer / Data Scientist,Contobox,"Montréal, QC",30+ days ago,Contobox (A Crucial Interactive Company) is looking for Data Engineer or a Data Scientist to work on our proprietary user engagement advertising platform....,https://www.indeed.ca//rc/clk?jk=982ab591e1dd4d5c&fccid=678a685249d10afd&vjs=3
Research Scientist,Stradigi AI,"Montréal, QC",7 days ago,"Experience with data visualization tools will be considered an asset; Stradigi AI is looking for bright, innovative and pragmatic Research Scientists with...",https://www.indeed.ca//rc/clk?jk=03d1877775a9b467&fccid=44d22360b9426d3e&vjs=3
Senior Scientist - Mass Spectrometry,Caprion,"Saint-Laurent, QC",1 day ago,Perform in-depth data analysis and interpretation for each experiment. Monitor data quality and take responsibility for project execution in the laboratory....,https://www.indeed.ca//rc/clk?jk=40fda83fab3e76ae&fccid=943271990b714a32&vjs=3
Speech Scientist / NLU Developer,Nuance,"Montréal, QC",30+ days ago,"Experience in Data Science, or related fields. The Speech Scientist will work in Automotive Professional Services project teams that integrate and deliver...",https://www.indeed.ca//rc/clk?jk=ea903a09b0d5d55c&fccid=70a7f49a5b57c331&vjs=3
"Specialist, Data Designer",Canadian National Railway,"Saint-Laurent, QC",30+ days ago,Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader....,https://www.indeed.ca//rc/clk?jk=cb0ae7d0e0f17c80&fccid=e396b9cc28927095&vjs=3
Software Developer - Data Specialist,DRW,"Montréal, QC",30+ days ago,Build tools and frameworks to help data scientists work more efficiently. Collect and analyze data from different sources and perform data collection/annotation...,https://www.indeed.ca//rc/clk?jk=0a83afb8626396fe&fccid=d9e7c4d795860e0c&vjs=3
Inspector,Maxxam,"Town of Mount-Royal, QC",30+ days ago,"Join our talented community of scientists and experts and apply today! Labels sample containers with full and correct identifying data, including location of...",https://www.indeed.ca//rc/clk?jk=608792aeffa8944e&fccid=24da3b562123a5e5&vjs=3
Applied Research Scientist - Machine Learning,Brain Finance,"Dorval, QC",30+ days ago,Coach interns' and junior data scientists' in their research projects; Conduct technical trainings to share SOTA methodologies with a team of data scientists;...,https://www.indeed.ca//company/BrainFinance/jobs/Applied-Research-Scientist-a80c13f29ae4616a?fccid=7d3c5093a624a4ed&vjs=3
Front End Developer,Diagram Ventures,"Montréal, QC",24 days ago,Working closely with back-end developers and data scientists to build data services; Diagram is a leading venture builder that uses a unique founder-centric...,https://www.indeed.ca//company/Diagram-Ventures/jobs/Front-End-Developer-f0e18595deaa810a?fccid=2d5e74b6e82191c6&vjs=3
Principal Scientist - Immunology,Caprion,"Montréal, QC",30+ days ago,Ensures that all study-related data is appropriately maintained and archived; Demonstrates and applies advanced level of understanding and analytical skills to...,https://www.indeed.ca//rc/clk?jk=7205fb5be835070c&fccid=943271990b714a32&vjs=3
Analyst - Samples Processing,Bureau Veritas Laboratories,"Saint-Laurent, QC",8 days ago,Ensure that quality control criteria are met for all reported data. Join our talented community of scientists and experts and apply today at http://bvlabs.com...,https://www.indeed.ca//rc/clk?jk=66fc3176efa951df&fccid=fdd8787d3dc18c3e&vjs=3
Pharmacokinetic Scientist (US/CAN),Celerion,"Montréal, QC",30+ days ago,"The Pharmacokinetic Scientist will assist with pharmacokinetic data analysis, scientific interpretation of study results, clinical report writing, and...",https://www.indeed.ca//rc/clk?jk=554832b8cd51aa4b&fccid=b082f79c25a030cd&vjs=3
Digital Marketing Specialist,Autodesk,"Montréal, QC",12 hours ago,"Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists....",https://www.indeed.ca//rc/clk?jk=bdbecacc4d724f06&fccid=7136762d065a5ad7&vjs=3
"Senior Manager Data Science, Online Data",Shopify,"Montréal, QC",30+ days ago,Experience mentoring and leading a team of experienced Data Scientists. Previous experience working in Data Engineering. That would be great if you have :....,https://www.indeed.ca//rc/clk?jk=97fe68b191c84476&fccid=d5a5824be27ba831&vjs=3
"Actuary Manager, Data Science",Intact,"Montréal, QC",30+ days ago,"Intact Lab Data Science Manager’s mission:. A leading edge #insuretech team where data scientists, actuaries, machine learning experts, a meteorologist and...",https://www.indeed.ca//rc/clk?jk=d3359fb907f3f6ba&fccid=be7195d2ebb48351&vjs=3
Senior Data Engineer - QuantumBlack,McKinsey & Company,"Montréal, QC",24 days ago,"Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models....",https://www.indeed.ca//rc/clk?jk=2707f077a0db2bfe&fccid=6576e7250aa78c3c&vjs=3
Senior Research Associate/Scientist Analytical Development,enGene,"Montréal, QC",30+ days ago,"Ability to define problems, design and execute experimental plans, analyze data, establish facts, and draw valid conclusions. Proficiency in MS Office Suite....",https://www.indeed.ca//rc/clk?jk=ded525425c93ab5c&fccid=952cd0514865dcd6&vjs=3
Big Data Developer,Ericsson,"Montréal, QC",30+ days ago,"The Big Data Developer developer will support our software developers, database architects, data analysts and data scientists on data initiatives and will...",https://www.indeed.ca//rc/clk?jk=2df0d154053ce573&fccid=82656d64a9a3e6a7&vjs=3
Data Engineer,MarketMuse,"Montréal, QC",30+ days ago,"Knowledge of data warehousing concepts, including data warehouse technical architectures, infrastructure components, tools and environments (such as Apache Beam...",https://www.indeed.ca//rc/clk?jk=9c8213ca97d152b5&fccid=a8719deb7e524bfb&vjs=3
