title,company,location,date,summary,url
"Manager, Cannabis Tissue Culture",Destiny Bioscience Global Corp.,"Nisku, AB",4 days ago,"Maintains SOPs, lab data and records, lab notebooks and computer databases. Work closely with Scientists and Breeders to make best use of available varieties...",https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/Manager-bd22f89b1ea19ae9?fccid=a7e0e8dc1e65fc95&vjs=3
Environmental Monitor/Inspector,Millennium EMS Solutions,"Sherwood Park, AB",3 days ago,"Data management and data entry using MS access databases. Currently we employ over 140 employees in various disciplines including, hydrogeologists, engineers,...",https://www.indeed.ca//rc/clk?jk=4a3746a7c8accaf2&fccid=930950bd60de2141&vjs=3
Reclamation Specialist,Millennium EMS Solutions,"Sherwood Park, AB",29 days ago,"File compilation, organization of field data, and interpretation of laboratory results. Currently we employ over 140 employees in various disciplines including,...",https://www.indeed.ca//rc/clk?jk=774fabe51218c85a&fccid=930950bd60de2141&vjs=3
Environmental Site Assessor,S2S Environmental,"Edmonton, AB",1 day ago,"We require Project Assessors/Project Scientists in the Edmonton, Calgary and Vancouver areas. Collect, manage, analyze and interpret historical documents and...",https://www.indeed.ca//company/S2S-Environmental/jobs/Environmental-Site-Assessor-87cc67c75528994c?fccid=25cfadee2a51f10d&vjs=3
Quality Assurance Officer - Permanent - Environmental and Petroleum,AGAT Laboratories,"Edmonton, AB",2 days ago,"Evaluate data quality and maintain records, control charts and other pertinent performance information. Our scientists are highly-skilled and specialized in the...",https://www.indeed.ca//company/AGAT-Laboratories/jobs/Quality-Assurance-Officer-a2bf002848037eb7?fccid=2db7fc8995a3b664&vjs=3
R&D Project Manager,Destiny Bioscience Global Corp.,"Nisku, AB",30+ days ago,"Skilled in data interpretation and report writing for studies. Assist with and contribute to project policies and procedures, data management, file compilations...",https://www.indeed.ca//company/Destiny-Bioscience-Global-Corp./jobs/R&D-Project-Manager-0771f337648cb028?fccid=a7e0e8dc1e65fc95&vjs=3
Environmental Field Technician,Golder Associates,"Edmonton, AB",30+ days ago,Or office assignments under the direction of more experience scientists and technical employees. Filing and managing all project related field notes including...,https://www.indeed.ca//rc/clk?jk=603800885555078d&fccid=e3b502a5b609fca4&vjs=3
Laboratory Team Lead,CARO Analytical Services,"Edmonton, AB",30+ days ago,"Reviews analytical data, and generates test reports (where required). We are smart, engaged scientists, driven to make the world safer and healthier....",https://www.indeed.ca//company/CARO-Analytical-Services/jobs/Laboratory-Team-Lead-32fb2d42b05e05cb?fccid=29b52b6ba68d5111&vjs=3
Technical Solutions Representative,Bureau Veritas Laboratories,"Edmonton, AB",30+ days ago,Communicate outcome of data investigations and re-analysis to clients as required; Join our talented community of scientists and experts and apply today at http...,https://www.indeed.ca//rc/clk?jk=01d4b7630da9bf9f&fccid=fdd8787d3dc18c3e&vjs=3
Hydrogeologist,Matrix Solutions Inc.,"Edmonton, AB",15 days ago,"Oversee and facilitate objective-driven data collection. Manage complex projects while directing multi-disciplinary teams including engineers, hydrogeologists,...",https://www.indeed.ca//rc/clk?jk=49026200bbc21a43&fccid=16b7b760774a1009&vjs=3
